revwNum,kbcSiteCode,revwKindCode,revwPatrCode,mmbrNum,mmbrId,cretDttm,revwCntt,revwEmtnKywrPatrCode,revwEmtnKywrCode,revwEmtnKywrName,revwRvgr,splrInclYsno,hdngYsno,cttsHdngRsnCode,hdngRsn,attndChekTrgtYsno,ordrId,rewardEvcAmnt,rewardEvcIsncYsno,rewardEvcIsncDate,mgrRewardEvcIsncYsno,mgrRewardEvcIsncRsn,evntId,dltYsno,saleCmdtid,saleCmdtDvsnCode,cmdtName,cmdtcode,saleLmttAge,recdcode,saleCmdtGrpDvsnCode,imgUrl,crtrId,amnrId,reviewAtacList,reviewAtacCount,atacFileNum,reviewRecommendCount,reviewCommentCount,reviewDeclarationCount,reviewRecommendUserYsno,declaration5timesYsno,declarationUserYsno,blockUserYsno,firstRevwNum,oneMonthRevwNum,chrcList,fndgPrjtSrmb,turnSrmb
2400056,001,001,002,62003198263,ka********,2018-12-01 21:53:44.57,안쓰려다가 알아야 할것같아서 올립니다 책 내용은 너무너무 만족합니다 그러나 교보서비스부분중에 배송이 진짜 쓰레기네요 당일배송이라 신청&#54692;는데 다음날도 아니고 어떻게 5일뒤에 책이오는지 말이안나오네요 급해서 책을 직접가서 샀습니다,002,001,집중돼요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,62*********,62*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400046,001,001,002,52012226919,ly******,2018-09-12 20:37:55.87,대학교재인데 괜찮아요,002,001,집중돼요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,52*********,52*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2399994,001,001,002,11999087405,im*****,2018-08-23 14:09:50.856,딥러닝을 위한 기초잡기??,002,005,추천해요,3,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,11*********,11*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400109,001,001,002,62017149824,eh*******,2018-07-25 22:44:16.72,좋아요 열심히 공부할게요~,002,001,집중돼요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,62*********,62*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2399993,001,001,002,11999082199,om******,2018-06-13 06:02:44.376,읽기전인데 기대가 됩니다,002,001,집중돼요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,11*********,11*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400045,001,001,002,52011201209,wu******,2018-06-04 20:18:17.813,감ㅅ하합니다,002,002,도움돼요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,52*********,52*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400050,001,001,002,52017203060,sk********,2018-05-22 02:45:39.736,파이썬을 공부 한 다음 이 책을 보면 정말 유용해요.,002,005,추천해요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,52*********,52*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400098,001,001,002,62016082297,k0*****,2018-04-26 16:46:43.163,내용이 압축되고 개념잡기 좋습니다,002,002,도움돼요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,62*********,62*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400080,001,001,002,62010286747,po********,2018-03-17 13:39:46.353,딥러닝 쪽은 처음인데 읽기 편하게 되 있어요,002,001,집중돼요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,62*********,62*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400004,001,001,002,12001497974,pi********,2018-03-13 18:07:52.44,책이 쉽고 자세해요,002,002,도움돼요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,12*********,12*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
